AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2013.0,27,Chocó,145133.0,79.59,79.59,55.47,82.73,44.28,18.43,96.73,95.65,122.5,82.31,56.24,17.38,7.96,4.59,2.79,4.29,6.19,3.71,88.85,0.14,88.62,6.19,91.92,6.56,0.14,88.62,8.37,4.38,0.15,0.14,0.16,0.11,0.06
2017.0,27,Chocó,145765.0,79.2,79.19,54.05,80.16,48.97,22.19,95.51,92.22,116.7,84.13,62.24,23395.0,36.32,2.38,2.99,1.96,3.15,1.97,88.49,0.28,88.14,3.15,92.68,9.14,0.28,88.14,11.68,5.35,2.23,0.28,3.14,1.39,0.38
2016.0,50,Meta,219565.0,92.4,92.28,56.26,90.78,77.27,43.97,104.73,87.44,114.32,106.25,85.56,27421.0,51.73,5.35,6.58,4.24,7.02,4.06,89.08,0.18,91.88,7.02,90.73,5.57,0.18,91.88,9.22,5.21,0.86,0.18,0.84,1.23,0.25
2013.0,68,Santander,419596.0,93.4,93.28,60.45,92.92,80.27,48.09,106.44,103.86,114.56,109.06,84.09,38.86,15.65,3.6,4.7,2.69,4.72,3.09,92.98,0.47,95.3,4.72,92.5,3.41,0.47,95.3,5.58,4.41,2.04,0.47,1.48,3.29,1.35
2015.0,17,Caldas,194108.0,78.9,78.86,52.47,74.53,69.24,43.55,90.19,68.31,91.54,97.76,82.41,25.44,30.69,3.67,3.66,2.7,5.07,3.1,88.13,0.8,90.65,5.07,90.57,8.2,0.8,90.65,12.14,6.34,2.18,0.8,1.55,3.58,1.65
2013.0,18,Caquetá,124458.0,80.95,80.94,49.28,81.93,56.48,23.87,95.55,89.72,114.83,90.45,58.16,46.7,8.48,6.55,6.08,6.69,6.95,4.34,92.48,0.26,92.55,6.95,94.48,0.96,0.26,92.55,1.48,1.18,1.32,0.26,1.13,2.06,0.89
2011.0,50,Meta,209319.0,93.65,93.59,61.46,92.35,75.89,40.79,102.82,82.9,115.06,106.18,75.26,22.79,24.42,5.55,5.12,5.58,6.15,3.8,93.08,0.07,93.39,6.15,93.9,1.37,0.07,93.39,1.85,2.3,1.48,0.07,1.27,2.26,0.9
2012.0,23,Córdoba,405302.0,93.78,93.69,65.06,91.54,71.82,37.52,110.73,114.96,121.51,111.46,79.37,22.35,30.49,2.95,3.14,2.48,3.51,3.31,95.33,0.48,96.17,3.51,94.23,1.72,0.48,96.17,2.43,2.46,2.56,0.48,2.59,3.01,1.52
2012.0,41,Huila,273653.0,89.77,89.73,67.15,92.67,73.8,37.98,100.19,90.94,111.82,103.66,69.78,26.44,44.54,5.23,4.59,3.97,7.31,4.93,90.01,0.2,92.08,7.31,89.23,4.76,0.2,92.08,6.72,5.83,1.81,0.2,1.72,2.52,1.09
2017.0,17,Caldas,191444.0,75.8,75.72,51.76,70.11,68.71,43.06,86.35,64.93,85.32,96.88,78.29,26938.0,37.97,3.47,3.67,2.54,4.67,3.0,89.46,0.44,91.85,4.67,91.15,7.07,0.44,91.85,10.31,5.85,3.08,0.44,2.38,4.75,1.88
2014.0,66,Risaralda,185754.0,88.18,88.02,51.56,84.11,76.47,41.11,103.53,82.14,106.63,114.18,85.75,26.09,56.63,3.67,4.0,3.04,4.65,2.96,93.08,0.52,94.54,4.65,93.52,3.25,0.52,94.54,4.75,3.52,1.66,0.52,1.32,2.62,1.2
2016.0,54,Norte de Santander,307238.0,88.6,88.51,58.43,92.31,70.9,38.0,101.66,92.73,115.55,100.97,74.99,26773.0,31.35,4.84,5.4,3.89,6.51,3.7,91.24,0.26,93.44,6.51,91.76,3.91,0.26,93.44,6.45,4.55,1.85,0.26,1.57,2.69,1.25
2013.0,17,Caldas,196982.0,82.58,82.54,56.05,78.2,70.78,44.6,94.92,75.79,98.79,100.75,83.2,40.09,34.49,4.1,4.26,3.36,5.38,3.21,88.64,0.36,90.3,5.38,90.4,7.25,0.36,90.3,10.2,6.39,1.87,0.36,1.57,2.75,1.42
